element,web_name,team,team_name,next_opponent_id,next_opponent_name,is_home,opponent_strength,now_cost,selected_by_percent,element_type,code,team_code,opponent_team_code,ict_index,status,chance_of_playing_next_round,news,recent_form,recent_clean_sheets,recent_saves,recent_goals_conceded,recent_goals_scored,recent_assists,recent_threat,recent_influence,recent_creativity,recent_penalties_saved
309,Metcalfe,9,Everton,7,Chelsea,0,3,45,0.0,3,491557,11,8,0.0,u,0.0,Has joined Bradford City permanently.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
310,Barry,9,Everton,7,Chelsea,0,3,57,0.4,4,586309,11,8,25.8,a,,,2.6,0.8,0.0,0.8,0.2,0.0,21.2,6.279999999999999,10.0,0.0
311,Beto,9,Everton,7,Chelsea,0,3,51,2.6,4,486385,11,8,34.7,a,,,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.2,0.5399999999999999,0.0
312,Y.Chermiti,9,Everton,7,Chelsea,0,3,49,0.1,4,491012,11,8,0.0,u,0.0,has joined Rangers permanently.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
313,Sherif,9,Everton,7,Chelsea,0,3,44,0.1,4,536241,11,8,0.0,u,0.0,has joined Rotherham United on loan for the rest of the season.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
419,Grealish,9,Everton,7,Chelsea,0,3,66,12.2,3,114283,11,8,98.0,a,100.0,,4.4,0.8,0.0,0.8,0.2,0.0,9.6,14.84,22.080000000000002,0.0
630,King,9,Everton,7,Chelsea,0,3,39,1.4,1,138001,11,8,0.0,a,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
667,Aznou,9,Everton,7,Chelsea,0,3,43,0.1,2,499300,11,8,0.0,a,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
704,Onyango,9,Everton,7,Chelsea,0,3,45,0.1,3,461446,11,8,0.0,u,0.0,has joined Stockport County on loan for the rest of the season.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
705,Campbell,9,Everton,7,Chelsea,0,3,39,0.2,2,491745,11,8,0.0,a,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
707,Dibling,9,Everton,7,Chelsea,0,3,53,0.0,3,496661,11,8,2.8,a,,,0.4,0.0,0.0,0.0,0.0,0.0,0.8,1.4,2.48,0.0
728,Röhl,9,Everton,7,Chelsea,0,3,50,0.0,3,513466,11,8,3.2,i,0.0,Hernia - Unknown return date,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.16,0.0
366,A.Becker,12,Liverpool,6,Brighton,1,3,54,5.5,1,116535,14,36,17.4,a,100.0,,2.4,0.2,2.0,1.4,0.0,0.0,0.0,13.6,0.0,0.0
367,Mamardashvili,12,Liverpool,6,Brighton,1,3,43,0.8,1,449027,14,36,13.9,a,,,1.4,0.0,0.6,0.6,0.0,0.0,0.0,8.24,0.0,0.2
368,Pécsi,12,Liverpool,6,Brighton,1,3,39,0.4,1,586268,14,36,0.0,a,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
369,Woodman,12,Liverpool,6,Brighton,1,3,39,0.2,1,155503,14,36,0.0,a,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
370,Frimpong,12,Liverpool,6,Brighton,1,3,57,4.5,2,216094,14,36,6.6,i,0.0,Hamstring injury - Unknown return date,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
371,Kerkez,12,Liverpool,6,Brighton,1,3,56,3.0,2,544877,14,36,43.6,a,,,2.0,0.2,0.0,1.2,0.0,0.0,2.2,10.36,16.12,0.0
372,Robertson,12,Liverpool,6,Brighton,1,3,58,1.0,2,122798,14,36,27.9,a,,,0.8,0.0,0.0,0.8,0.0,0.0,0.4,6.24,6.919999999999999,0.0
373,Virgil,12,Liverpool,6,Brighton,1,3,60,23.9,2,97032,14,36,63.1,a,,,3.2,0.2,0.0,2.0,0.0,0.0,8.2,27.160000000000004,8.58,0.0
374,Konaté,12,Liverpool,6,Brighton,1,3,54,2.9,2,204716,14,36,45.9,a,100.0,,2.8,0.2,0.0,1.8,0.0,0.0,6.8,20.479999999999997,1.44,0.0
375,Bradley,12,Liverpool,6,Brighton,1,3,50,0.2,2,492777,14,36,20.2,s,0.0,Suspended until 20 Dec,1.0,0.2,0.0,0.6,0.0,0.0,2.0,5.6,6.459999999999999,0.0
376,Gomez,12,Liverpool,6,Brighton,1,3,49,0.2,2,171287,14,36,10.2,a,100.0,,3.2,0.4,0.0,0.6,0.0,0.2,2.4,7.0,6.840000000000001,0.0
377,Tsimikas,12,Liverpool,6,Brighton,1,3,48,0.1,2,214285,14,36,0.0,u,0.0,has joined AS Roma on loan for the rest of the season.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
378,Nallo,12,Liverpool,6,Brighton,1,3,38,0.3,2,611926,14,36,0.0,a,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
379,R.Williams,12,Liverpool,6,Brighton,1,3,38,0.2,2,219937,14,36,0.0,a,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
380,Ramsay,12,Liverpool,6,Brighton,1,3,38,0.3,2,489580,14,36,0.0,a,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
381,M.Salah,12,Liverpool,6,Brighton,1,3,140,17.5,3,118748,14,36,102.2,a,,,1.0,0.0,0.0,1.4,0.0,0.0,16.8,6.160000000000001,23.520000000000003,0.0
382,Wirtz,12,Liverpool,6,Brighton,1,3,80,6.7,3,494595,14,36,62.3,a,100.0,,3.0,0.4,0.0,0.8,0.0,0.2,13.2,6.0,19.22,0.0
383,Luis Díaz,12,Liverpool,6,Brighton,1,3,80,0.0,3,244731,14,36,0.0,u,0.0,Has joined Bayern Munch permanently.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
384,Gakpo,12,Liverpool,6,Brighton,1,3,75,10.4,3,243298,14,36,100.3,i,0.0,Knock - Unknown return date,4.0,0.2,0.0,1.2,0.2,0.2,20.2,14.84,14.919999999999998,0.0
385,Chiesa,12,Liverpool,6,Brighton,1,3,63,0.3,3,223541,14,36,21.2,a,100.0,,0.4,0.0,0.0,0.2,0.0,0.0,5.2,1.12,0.58,0.0
386,Mac Allister,12,Liverpool,6,Brighton,1,3,62,1.2,3,243016,14,36,41.4,a,100.0,,1.8,0.2,0.0,2.0,0.0,0.0,10.0,9.879999999999999,7.5200000000000005,0.0
387,Szoboszlai,12,Liverpool,6,Brighton,1,3,67,6.0,3,424876,14,36,102.5,a,,,3.2,0.2,0.0,2.0,0.2,0.0,12.6,22.4,39.44,0.0
388,C.Jones,12,Liverpool,6,Brighton,1,3,54,0.1,3,206915,14,36,26.7,a,100.0,,1.2,0.0,0.0,1.2,0.0,0.0,1.8,7.32,12.940000000000001,0.0
390,Gravenberch,12,Liverpool,6,Brighton,1,3,56,4.3,3,441266,14,36,55.1,a,100.0,,3.2,0.2,0.0,2.0,0.0,0.2,1.6,13.4,13.2,0.0
392,Endo,12,Liverpool,6,Brighton,1,3,49,0.1,3,158983,14,36,4.2,a,100.0,,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.48,0.04,0.0
393,Bajcetic,12,Liverpool,6,Brighton,1,3,43,0.0,3,535928,14,36,0.0,i,0.0,Hamstring injury - Unknown return date,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394,McConnell,12,Liverpool,6,Brighton,1,3,44,0.0,3,491501,14,36,0.0,u,0.0,has joined Ajax on loan for the rest of the season.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
395,Morton,12,Liverpool,6,Brighton,1,3,45,0.0,3,440148,14,36,0.0,u,0.0,Has joined Lyon permanently.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396,Nyoni,12,Liverpool,6,Brighton,1,3,43,0.4,3,591386,14,36,0.0,a,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
397,Darwin,12,Liverpool,6,Brighton,1,3,65,0.1,4,447203,14,36,0.0,u,0.0,Has joined Al-Hilal permanently.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
